holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AGX,Argan Inc,529900E4KZWBV9KGBS83,Argan Inc,04010E109,US04010E1091,AGX,651,NS,USD,514290,4.31,Long,EC,CORP,US,N,1,N,N,N
AROC,Archrock Inc,549300K3RIHMHDVFTL28,Archrock Inc,03957W106,US03957W1062,AROC,10974,NS,USD,417889.92,3.50,Long,EC,CORP,US,N,1,N,N,N
BKR,Baker Hughes Co,N/A,Baker Hughes Co,05722G100,US05722G1004,BKR,8277,NS,USD,489584.55,4.10,Long,EC,CORP,US,N,1,N,N,N
CAT,Caterpillar Inc,WRJR7GS4GTRECRRTVX92,Caterpillar Inc,149123101,US1491231015,CAT,1767,NS,USD,1806368.76,15.12,Long,EC,CORP,US,N,1,N,N,N
CLNE,Clean Energy Fuels Corp,549300MTQB4VUAOPMF71,Clean Energy Fuels Corp,184499101,US1844991018,CLNE,100533,NS,USD,179954.07,1.51,Long,EC,CORP,US,N,1,N,N,N
CMI,Cummins Inc,ZUNI8PYC725B6H8JU438,Cummins Inc,231021106,US2310211063,CMI,744,NS,USD,539347.92,4.52,Long,EC,CORP,US,N,1,N,N,N
CW,Curtiss-Wright Corp,TEL51ETZWP7D0ZM4X325,Curtiss-Wright Corp,231561101,US2315611010,CW,372,NS,USD,291581.04,2.44,Long,EC,CORP,US,N,1,N,N,N
DCI,Donaldson Co Inc,OZE6KXY9QQPR8EJ8WL20,Donaldson Co Inc,257651109,US2576511099,DCI,1209,NS,USD,103913.55,0.87,Long,EC,CORP,US,N,1,N,N,N
ETN,Eaton Corp PLC,549300VDIGTMXUNT7H71,Eaton Corp PLC,N/A,IE00B8KQN827,ETN,1302,NS,USD,567385.56,4.75,Long,EC,CORP,IE,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,341697.51,NS,USD,341697.51,2.86,Long,STIV,RF,US,N,1,N,N,N
FLR,Fluor Corp,CQ7WZ4NOFWT7FAE6Q943,Fluor Corp,343412102,US3434121022,FLR,8742,NS,USD,475739.64,3.98,Long,EC,CORP,US,N,1,N,N,N
FLS,Flowserve Corp,6Y0GK87T6V7NJKZJVM41,Flowserve Corp,34354P105,US34354P1057,FLS,5580,NS,USD,455216.4,3.81,Long,EC,CORP,US,N,1,N,N,N
FTI,TechnipFMC PLC,549300D5I93QWCJTCK36,TechnipFMC PLC,N/A,GB00BDSFG982,FTI,3627,NS,USD,244423.53,2.05,Long,EC,CORP,GB,N,1,N,N,N
GEV,GE Vernova Inc,254900DP080RU6OK2553,GE Vernova Inc,36828A101,US36828A1016,GEV,1116,NS,USD,1258390.44,10.53,Long,EC,CORP,US,N,1,N,N,N
GNRC,Generac Holdings Inc,529900S2H2AHJHSFFI84,Generac Holdings Inc,368736104,US3687361044,GNRC,2232,NS,USD,659645.28,5.52,Long,EC,CORP,US,N,1,N,N,N
GTLS,Chart Industries Inc,EM7QGKC1GYOF3LSZSL80,Chart Industries Inc,16115Q308,US16115Q3083,GTLS,2232,NS,USD,466443.36,3.90,Long,EC,CORP,US,N,1,N,N,N
KGS,Kodiak Gas Services Inc,N/A,Kodiak Gas Services Inc,50012A108,US50012A1088,KGS,5952,NS,USD,420925.44,3.52,Long,EC,CORP,US,N,1,N,N,N
KMI,Kinder Morgan Inc,549300WR7IX8XE0TBO16,Kinder Morgan Inc,49456B101,US49456B1017,KMI,18042,NS,USD,581854.5,4.87,Long,EC,CORP,US,N,1,N,N,N
LNG,Cheniere Energy Inc,MIHC87W9WTYSYZWV1J40,Cheniere Energy Inc,16411R208,US16411R2085,LNG,2232,NS,USD,515257.2,4.31,Long,EC,CORP,US,N,1,N,N,N
NFE,New Fortress Energy Inc,254900EICTYTCHA5X705,New Fortress Energy Inc,644393100,US6443931000,NFE,302901,NS,USD,121311.85,1.02,Long,EC,CORP,US,N,1,N,N,N
NGS,Natural Gas Services Group Inc,N/A,Natural Gas Services Group Inc,63886Q109,US63886Q1094,NGS,5952,NS,USD,257900.16,2.16,Long,EC,CORP,US,N,1,N,N,N
OKE,ONEOK Inc,2T3D6M0JSY48PSZI1Q41,ONEOK Inc,682680103,US6826801036,OKE,6510,NS,USD,561747.9,4.70,Long,EC,CORP,US,N,1,N,N,N
WWD,Woodward Inc,YPYKXXTR8TFDH54ZMB45,Woodward Inc,980745103,US9807451037,WWD,1581,NS,USD,674802.42,5.65,Long,EC,CORP,US,N,1,N,N,N
